Source_Station_Name,Train_Count
CST-MUMBAI,513
SEALDAH,372
CHENNAI BEACH,339
HOWRAH JN.,338
KALYAN JN,285
THANE,186
PANVEL,141
TAMBARAM,140
MOOR MARKET,135
VELACHEERY,115
NEW DELHI,107
RAVLI JN,99
VASHI,92
DELHI JN.,88
PUNE JN.,81
CHENNAI CENTRAL,78
BARDDHAMAN JN.,78
CHENGALPATTU,74
BANDEL JN.,73
LOKMANYA TILAK TERMINUS,70
LUCKNOW JN.,68
PATNA JN.,67
GORAKHPUR JN.,67
HAZRAT NIZAMUDDIN JN,66
SECUNDERABAD JN.,66
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),64
AHMEDABAD,64
YESVANTPUR JN.,60
HYDERABAD DECCAN,59
AMRITSAR JN.,57
TIRUPATI,54
LINGAMPALLI,54
BELAPUR C.B.D,51
PURI,49
BANDRA TERMINUS,49
RANAGHAT JN.,49
VISAKHAPATNAM,48
BANGAON JN.,48
FALAKNUMA,48
NAIHATI JN.,47
ANAND VIHAR TERMINAL,47
TIRUVALLUR,45
DADAR,45
ARAKKONAM JN,44
ASANSOL MAIN,42
VIJAYWADA JN.,42
KANPUR CENTRAL JN.,42
AVADI,41
INDORE BG,41
VARANASI JN.,40
ERNAKULAM. JN,40
KARJAT,39
AMBERNATH,39
TITVALA,39
LAKSHMIKANTAPUR,38
JAIPUR JN.,37
KOLKATA,37
MYSORE JN.,36
TRIVANDRUM CENTRAL,35
GUWAHATI,35
BADLAPUR,35
DOMBIVLI,33
KATIHAR JN.,33
KHARAGPUR,32
BHUBANESWAR,31
GUMMIDIPUNDI,31
BUDGE BUDGE,31
GAYA JN.,30
TATANAGAR JN,30
CHENNAI EGMORE,30
COIMBATORE  JN.,30
JODHPUR JN.,30
KACHEGUDA,30
TIRUCHIRAPPALLI JN.,30
BILASPUR JN.,30
KATWA JN.,30
AMBALA CANTT JN,29
CANNING,29
JAMMU TAWI,29
QUILON,29
MUZAFFARPUR JN.,28
FIROZPUR CANTT JN.,28
NERUL,28
TARAKESHWAR,28
KURLA,28
DIAMOND HARBOUR,27
JABALPUR,27
AJMER JN.,27
MANGALORE CENTRAL,27
JALANDHAR CITY JN.,27
RANCHI,26
KRISHNA NAGAR CITY JN.,26
DURG,26
GHAZIABAD JN.,26
HUBLI JN.,26
ANAND JN.,25
BARUIPUR JN.,25
SANTRAGACHI JN.,25
BIKANER JN.,25
REWARI JN.,25
MUMBAI CENTRAL,24
MORADABAD JN.,24
JAMALPUR JN.,24
DELHI-SARAI ROHILLA,24
RAMPUR HAT,23
AZIMGANJ JN.,23
SAHARSA JN.,23
HASANABAD,22
CHHAPRA JN.,22
GUNTUR JN.,22
BARASAT JN.,22
NAGPUR JN.(CR),22
JASIDIH JN.,22
MADURAI JN,21
SHANTIPUR JN.,21
PATTABIRAM E DEPOT,21
NANDED,21
PATHANKOT JN.,21
DAHANU ROAD,21
DANKUNI JN.,21
VADODARA JN.,21
SHRI GANGANAGAR,21
GONDIA JN.,21
SURAT,21
SHRI MATA VAISHNO DEVI KATRA,21
LUDHIANA JN.,20
MIDNAPORE,20
SAMASTIPUR JN.,20
SULLURUPETTA,20
BARAUNI JN.,20
GEDE,20
ASANGAON,20
SHALIMAR,19
HARIDWAR JN,19
RAXAUL JN.,19
DEHRA DUN,19
JAYNAGAR,19
HATIA,19
TIRUNELVELI JN,19
KOTA,19
MUMBAI VADALA ROAD,19
BHAGALPUR,19
RAIPUR JN.,19
SONARPUR JN.,18
ALLAHABAD JN.,18
BARRACKPORE,18
KASARA,18
KAMAKHYA JN,18
LONAVLA,18
SAHARANPUR JN.,18
DARBHANGA JN.,18
PILIBHIT JN.,18
DHANBAD JN.,18
MATHURA JN.,18
MALDA TOWN,18
SOLAPUR,18
CHANDIGARH,17
VIRAR,17
BAREILLY JN.,17
NEW JALPAIGURI JN,17
NAGERCOIL JN.,17
CHHATRAPATI SHAHU MAHARAJ TERMINUS,17
PALASDARI,17
KALYANI SIMANTA,17
PONDICHERRY,16
LALGOLA,16
MADGOAN JN.,16
AGRA CANTT,16
BHAVNAGAR TERMINUS,16
MHOW,16
ADRA,16
UDAIPUR CITY,16
OKHA,16
BATHINDA JN,16
KASGANJ JN.,16
BHOPAL,16
PALWAL,16
SAI NAGAR SHIRDI,15
BAREILLY CITY,15
AMRAVATI,15
ROHTAK JN.,15
JIND JN,15
SEORAPHULI JN.,15
KOCHUVELI,15
KALKA,15
MAYILADUTURAI JN.,15
TIRUTTANI,15
VILLUPURAM JN.,14
HISAR JN,14
JHANSI JN,14
DANAPUR,14
NAMKHANA,14
SILIGURI JN.,14
RATLAM JN,14
RAJENDRANAGAR TERMINAL,14
PANSKURA,13
SHAKUR BASTI,13
ARAMBAG,13
NARASAPUR,13
KURUKSHETRA JN.,13
BHUSAVAL JN.,13
PORBANDAR,13
MUGHAL SARAI JN.,13
RAMESWARAM,13
MAJERHAT,13
MERTA ROAD JN.,13
SILCHAR,13
DIBRUGARH,13
ERODE JN.,13
MAILANI JN.,12
MACHILIPATNAM,12
MANDUADIH,12
MIRAJ JN.,12
NARKATIAGANJ JN.,12
FAZILKA JN.,12
RAMNAGAR,12
VALSAD,12
TIRUMALPUR,12
KIUL JN.,12
ITWARI JN.,12
PANIPAT JN.,12
KANNIYAKUMARI,12
DARJEELING,12
SAMBALPUR JN.,11
VARANASI CITY,11
RAJKOT,11
PRAYAG JN.,11
FAIZABAD JN.,11
DIGHA FS,11
GWALIOR JN,11
GANDHIDHAM JN.,11
BANGARPET JN.,11
DATTAPUKUR,11
KANNUR,11
MARIKUPPAM,11
LALKUA JN.,11
BANIHAL,11
VASCO-DA-GAMA,11
TENALI JN.,11
ALIGARH JN.,10
SIWAN JN.,10
BHAGAT-KI-KOTHI,10
BAIDYANATHDHAM,10
GUDIVADA JN.,10
BINA,10
JOGBANI,10
KARAIKAL,10
KAKINADA PORT,10
MECHEDA,10
SHORANUR JN.,10
NIZAMABAD,10
BUDGAM,10
KATHGODAM,10
REWA,10
ALIPUR DUAR JN.,9
MERTA CITY,9
MANMAD JN.,9
BHIWANI JN.,9
ROURKELA,9
BARAMULLA,9
KAKINADA TOWN,9
SALEM JN.,9
SAHIBGANJ,9
KAZIPET JN.,9
THANJAVUR JN.,9
SHAHJAHANPUR JN,9
JHARGRAM,9
NEW BHUJ,9
BAHRAICH,9
RANGIYA JN.,9
PATLIPUTRA,9
SURATGARH JN.,9
PURULIA JN.,9
FARRUKHABAD JN,9
RAE BARELI JN.,8
RAJMAHAL,8
GHAZIPUR CITY,8
HABRA,8
DURAUNDHA JN,8
GUNTAKAL JN.,8
HOSHIARPUR,8
JAISALMER,8
PARTAPGARH JN.,8
GONDA JN.,8
NAUTANWA,8
BANKURA,8
TUNDLA JN,8
VIDYAVIHAR,8
ALLEPPEY,8
AGARTALA,8
BIDAR,8
MAHESANA JN,8
SHIMOGA TOWN,8
CUTTACK JN.,8
TINPAHAR JN.,8
BHIMAVARAM JN.,8
MOKAMA JN.,8
NAJIBABAD JN.,8
SULTANPUR JN.,8
BARKAKANA,8
SENGOTTAI JN,8
KHAMBHAT,8
NANGAL DAM,7
NAGDA JN,7
TUTICORIN,7
CHURCHGATE,7
CHOPAN,7
BARMER,7
TIRUCHENDUR,7
KHAJAURAHO,7
RAJGIR,7
THAWE JN.,7
KATPADI JN,7
DAUND JN.,7
MEDCHAL,7
MEERUT CITY JN.,7
UDHAMPUR,7
PATAN,7
HALDIA,7
BADNERA JN.,7
DAHOD,7
DEHRI-ON-SON,7
DIVA JN,7
NILAMBUR ROAD,7
UMDANAGAR,7
GURUVAYUR,7
REPALLE,7
NSC BOSE J GOMO,7
BANGALORE CANTT.,7
SOMNATH,7
BALHARSHAH,7
BALLIA,6
JOLARPETTAI JN,6
METTUPALAIYAM JN.,6
SHAMLI,6
JAUNPUR JN.,6
MORVI,6
BELURMATH,6
CHAKARADHARPUR,6
PALASA,6
SURENDRANAGAR,6
NAGARSOL,6
BARHARWA JN.,6
ITARSI,6
RISHIKESH,6
PARADEEP,6
UJJAIN JN,6
JHAJHA,6
SIKAR JN.,6
NEW BONGAIGAON  JN.,6
DEKARGAON,6
ARA,6
DIBRUGARH TOWN,6
HABIBGANJ,6
RATANAGARH JN,6
GULBARGA,6
ANDAL JN.,6
WANKANER,6
MANNARGUDI,6
