Source_Station_Name,Average_Trains_Per_Day
MAJERHAT,1.8571428571428572
MUGHAL SARAI JN.,1.8571428571428572
NARASAPUR,1.8571428571428572
MERTA ROAD JN.,1.8571428571428572
KURUKSHETRA JN.,1.8571428571428572
SHAKUR BASTI,1.8571428571428572
PANSKURA,1.8571428571428572
PORBANDAR,1.8571428571428572
CHHATRAPATI SHAHU MAHARAJ TERMINUS,1.7142857142857142
FAZILKA JN.,1.7142857142857142
AGRA CANTT,1.7142857142857142
DANAPUR,1.7142857142857142
MACHILIPATNAM,1.7142857142857142
ITWARI JN.,1.7142857142857142
MHOW,1.7142857142857142
KANNIYAKUMARI,1.7142857142857142
PANIPAT JN.,1.7142857142857142
RAMNAGAR,1.7142857142857142
NARKATIAGANJ JN.,1.7142857142857142
VALSAD,1.7142857142857142
MANDUADIH,1.7142857142857142
VASCO-DA-GAMA,1.5714285714285714
TIRUMALPUR,1.5714285714285714
TENALI JN.,1.5714285714285714
RAJKOT,1.5714285714285714
PRAYAG JN.,1.5714285714285714
BANGARPET JN.,1.5714285714285714
BANIHAL,1.5714285714285714
SAMBALPUR JN.,1.5714285714285714
VARANASI CITY,1.5714285714285714
LALGOLA,1.5714285714285714
MARIKUPPAM,1.5714285714285714
KALKA,1.5714285714285714
KANNUR,1.5714285714285714
LALKUA JN.,1.5714285714285714
KIUL JN.,1.5714285714285714
DIGHA FS,1.5714285714285714
FAIZABAD JN.,1.5714285714285714
GANDHIDHAM JN.,1.5714285714285714
DATTAPUKUR,1.5714285714285714
SIWAN JN.,1.4285714285714286
BAIDYANATHDHAM,1.4285714285714286
SHORANUR JN.,1.4285714285714286
RAMPUR HAT,1.4285714285714286
JOGBANI,1.4285714285714286
ALIGARH JN.,1.4285714285714286
KATHGODAM,1.4285714285714286
KARAIKAL,1.4285714285714286
BUDGAM,1.4285714285714286
MECHEDA,1.4285714285714286
BHAGAT-KI-KOTHI,1.4285714285714286
KAKINADA PORT,1.4285714285714286
GUDIVADA JN.,1.4285714285714286
KAZIPET JN.,1.2857142857142858
PURULIA JN.,1.2857142857142858
GWALIOR JN,1.2857142857142858
ALIPUR DUAR JN.,1.2857142857142858
KAKINADA TOWN,1.2857142857142858
JHARGRAM,1.2857142857142858
PATLIPUTRA,1.2857142857142858
SURATGARH JN.,1.2857142857142858
NEW BHUJ,1.2857142857142858
THANJAVUR JN.,1.2857142857142858
ROURKELA,1.2857142857142858
RANGIYA JN.,1.2857142857142858
SALEM JN.,1.2857142857142858
BARAMULLA,1.2857142857142858
FARRUKHABAD JN,1.2857142857142858
MERTA CITY,1.2857142857142858
BHIWANI JN.,1.2857142857142858
PARTAPGARH JN.,1.1428571428571428
BANKURA,1.1428571428571428
SENGOTTAI JN,1.1428571428571428
RAE BARELI JN.,1.1428571428571428
PILIBHIT JN.,1.1428571428571428
TUNDLA JN,1.1428571428571428
TINPAHAR JN.,1.1428571428571428
VIDYAVIHAR,1.1428571428571428
ALLEPPEY,1.1428571428571428
SULTANPUR JN.,1.1428571428571428
SHIMOGA TOWN,1.1428571428571428
REWA,1.1428571428571428
RAJMAHAL,1.1428571428571428
NIZAMABAD,1.1428571428571428
MAHESANA JN,1.1428571428571428
BIDAR,1.1428571428571428
KHAMBHAT,1.1428571428571428
NAUTANWA,1.1428571428571428
NAJIBABAD JN.,1.1428571428571428
BHIMAVARAM JN.,1.1428571428571428
CUTTACK JN.,1.1428571428571428
DURAUNDHA JN,1.1428571428571428
HABRA,1.1428571428571428
JAISALMER,1.1428571428571428
HOSHIARPUR,1.1428571428571428
GONDA JN.,1.1428571428571428
GUNTAKAL JN.,1.1428571428571428
GHAZIPUR CITY,1.1428571428571428
AGARTALA,1.1428571428571428
UMDANAGAR,1.0
THAWE JN.,1.0
TIRUCHENDUR,1.0
SOMNATH,1.0
REPALLE,1.0
BANGALORE CANTT.,1.0
PATAN,1.0
GURUVAYUR,1.0
DAHOD,1.0
MANMAD JN.,1.0
MEDCHAL,1.0
CHURCHGATE,1.0
MEERUT CITY JN.,1.0
NAGDA JN,1.0
MOKAMA JN.,1.0
BARMER,1.0
NILAMBUR ROAD,1.0
NANGAL DAM,1.0
HALDIA,1.0
KATPADI JN,1.0
AMRAVATI,1.0
TUTICORIN,1.0
UDHAMPUR,1.0
PALASA,0.8571428571428571
PURNA  JN.,0.8571428571428571
SIKAR JN.,0.8571428571428571
GEVRA-ROAD,0.8571428571428571
RATANAGARH JN,0.8571428571428571
RAJAHMUNDRY,0.8571428571428571
PARADEEP,0.8571428571428571
ETAWAH,0.8571428571428571
JOLARPETTAI JN,0.8571428571428571
BHUSAVAL JN.,0.8571428571428571
BHATNI JN.,0.8571428571428571
MAHUVA,0.8571428571428571
MANNARGUDI,0.8571428571428571
METTUPALAIYAM JN.,0.8571428571428571
RADHIKAPUR,0.8571428571428571
GULBARGA,0.8571428571428571
DIBRUGARH TOWN,0.8571428571428571
HABIBGANJ,0.8571428571428571
SULLURUPETTA,0.8571428571428571
ARA,0.8571428571428571
BALHARSHAH,0.8571428571428571
BALLIA,0.8571428571428571
RISHIKESH,0.8571428571428571
WANKANER,0.8571428571428571
AZIMGANJ JN.,0.8571428571428571
SURENDRANAGAR,0.8571428571428571
VASAI ROAD,0.8571428571428571
ANDAL JN.,0.8571428571428571
UJJAIN JN,0.8571428571428571
CHAKARADHARPUR,0.8571428571428571
KOTDWARA,0.8571428571428571
BELURMATH,0.8571428571428571
AGRA  FORT,0.8571428571428571
DEKARGAON,0.8571428571428571
JHAJHA,0.8571428571428571
JAUNPUR JN.,0.8571428571428571
MORVI,0.8571428571428571
NAGARSOL,0.8571428571428571
NEW BONGAIGAON  JN.,0.8571428571428571
FARUKHNAGAR,0.7142857142857143
PALITANA,0.7142857142857143
PUNALUR,0.7142857142857143
BARA BANKI JN.,0.7142857142857143
SITAMARHI,0.7142857142857143
DAUND JN.,0.7142857142857143
VIJAPUR,0.7142857142857143
VRINDAVAN,0.7142857142857143
TINSUKIA JN.,0.7142857142857143
GUDUR JN.,0.7142857142857143
BARKAKANA,0.7142857142857143
BALASORE,0.7142857142857143
SALUR,0.7142857142857143
SHRIRAMPUR,0.7142857142857143
SINGRAULI,0.7142857142857143
GRAM MASAGRAM,0.7142857142857143
GIRDIH,0.7142857142857143
AVADI,0.7142857142857143
AURANGABAD,0.7142857142857143
SITAPUR CANTT,0.7142857142857143
BHADRAKH,0.7142857142857143
MADHUPUR JN.,0.7142857142857143
MAHARAJGANJ,0.7142857142857143
DIVA JN,0.7142857142857143
DONGAR GARH,0.7142857142857143
DUMKA,0.7142857142857143
BHIND,0.7142857142857143
MEMARI,0.7142857142857143
BENOY BADAL DINESH BAG,0.7142857142857143
HAPA,0.7142857142857143
MURKEONG SELEK,0.7142857142857143
HALDIBARI,0.7142857142857143
PALAKKAD JN,0.7142857142857143
BOBBILI JN.,0.7142857142857143
BIJAPUR JN,0.7142857142857143
BOKARO STEEL CITY,0.7142857142857143
CHAMRAJANAGAR,0.7142857142857143
KARIM NAGAR,0.7142857142857143
KARMALI,0.7142857142857143
KASHIPUR JN,0.7142857142857143
KATANGI,0.7142857142857143
KHURDA ROAD JN.,0.7142857142857143
KHAJAURAHO,0.7142857142857143
KOLAR,0.7142857142857143
KHURJA JN,0.7142857142857143
KURNOOL TOWN,0.7142857142857143
JHARSUGUDA JN.,0.7142857142857143
JHANSI JN,0.7142857142857143
CALICUT,0.7142857142857143
AMBIKAPUR,0.7142857142857143
ALLAHABAD CITY,0.7142857142857143
AJNI,0.7142857142857143
ADILABAD,0.7142857142857143
VERKA JN.,0.5714285714285714
VERAVAL,0.5714285714285714
VELANKANNI,0.5714285714285714
TIRODI,0.5714285714285714
AZAMGARH,0.5714285714285714
JAMNAGAR,0.5714285714285714
JALNA,0.5714285714285714
ULUBARIA,0.5714285714285714
UDHAGAMANDALAM,0.5714285714285714
ATARI JN,0.5714285714285714
ARSIKERE JN.,0.5714285714285714
ANUPGARH,0.5714285714285714
TILAK BRIDGE,0.5714285714285714
TEZNARAYANPUR,0.5714285714285714
TARN TARAN,0.5714285714285714
TALGUPPA,0.5714285714285714
TALEGAON,0.5714285714285714
SONPUR JN.,0.5714285714285714
SITAPUR CITY JN.,0.5714285714285714
GODHRA JN.,0.5714285714285714
GOBARDANGA,0.5714285714285714
SHAMLI,0.5714285714285714
BALGONA,0.5714285714285714
BALAMAU JN.,0.5714285714285714
SHAHJAHANPUR JN,0.5714285714285714
SAMBAHAL HATIM SARAI,0.5714285714285714
SAINTHIA JN.,0.5714285714285714
SADULPUR JN,0.5714285714285714
BANKA,0.5714285714285714
BALURGHAT,0.5714285714285714
RAYAGADA JN.,0.5714285714285714
RAIGARH,0.5714285714285714
BARIPADA PH,0.5714285714285714
BARHAJ BAZAR,0.5714285714285714
DILDARNAGAR JN,0.5714285714285714
KHEM KARAN,0.5714285714285714
KENDRI,0.5714285714285714
KAYANKULAM JN,0.5714285714285714
KAWR,0.5714285714285714
KARUR JN.,0.5714285714285714
KARAIKKUDI,0.5714285714285714
GUNUPUR,0.5714285714285714
DHARWAD,0.5714285714285714
BARBIL,0.5714285714285714
PHULERA JN.,0.5714285714285714
ONGOLE,0.5714285714285714
NSC BOSE J GOMO,0.5714285714285714
CHIKJAJUR JN.,0.5714285714285714
CHHOTA UDEPUR,0.5714285714285714
BEAS JN,0.5714285714285714
BAYANA,0.5714285714285714
KOSI KALAN,0.5714285714285714
KORBA,0.5714285714285714
KORAPUT JN.,0.5714285714285714
NIDADAVOLU JN.,0.5714285714285714
NELLORE,0.5714285714285714
NAKODAR JN.,0.5714285714285714
NAGBHIR JN.,0.5714285714285714
BERHAMPUR,0.5714285714285714
CHITTAURGARH JN,0.5714285714285714
MAU JN.,0.5714285714285714
MASAGRAM,0.5714285714285714
MANOHARABAD,0.5714285714285714
MANKAPUR JN.,0.5714285714285714
MANGALORE JN,0.5714285714285714
BHOJUDIH JN.,0.5714285714285714
BHARUCH JN.,0.5714285714285714
MALDA COURT,0.5714285714285714
LOHIAN KHAS JN.,0.5714285714285714
LEDO,0.5714285714285714
KOTTAYAM,0.5714285714285714
CUDDAPAH,0.5714285714285714
DUM DUM JN.,0.5714285714285714
DOHRIGHAT,0.5714285714285714
MAHBUBNAGAR,0.5714285714285714
ISLAMPUR,0.5714285714285714
CHANDANPUR,0.5714285714285714
INDARA JN.,0.5714285714285714
IDGAH,0.5714285714285714
DEHRI-ON-SON,0.5714285714285714
TRICHUR,0.5714285714285714
DERABABA NANAK,0.5714285714285714
AMB  ANDAURA,0.5714285714285714
VIZIANAGARAM JN.,0.5714285714285714
VIRAMGAM JN,0.5714285714285714
AKOLA JN.,0.5714285714285714
AMTA,0.42857142857142855
KUPPAM,0.42857142857142855
AYODHYA,0.42857142857142855
JHALAWAR CITY,0.42857142857142855
JUNAGARH ROAD,0.42857142857142855
AUNRIHAR JN.,0.42857142857142855
JAGADALPUR,0.42857142857142855
UDHNA JN.,0.42857142857142855
BOLARUM,0.42857142857142855
JAIJON DOABA,0.42857142857142855
TARIGHAT,0.42857142857142855
DORNAKAL JN.,0.42857142857142855
LOHARDAGA  BS,0.42857142857142855
MACHERLA,0.42857142857142855
LUMDING JN.,0.42857142857142855
MAJHOLA PAKARIYA,0.42857142857142855
SONIPAT,0.42857142857142855
BUXAR,0.42857142857142855
KULEM,0.42857142857142855
SIRSA,0.42857142857142855
BHARATPUR JN,0.42857142857142855
DALLI-RAJHARA,0.42857142857142855
MANUGURU,0.42857142857142855
GANDHINAGAR CAPITAL,0.42857142857142855
TUMSAR RD,0.42857142857142855
PHAPHUND,0.42857142857142855
VRIDHA CHALAM JN.,0.42857142857142855
TUMKUR,0.42857142857142855
